iter	Passed	Remaining
0	148	148191
1	295	147438
2	440	146479
3	585	145734
4	730	145424
5	874	144855
6	1018	144452
7	1165	144545
8	1307	144017
9	1450	143557
10	1597	143668
11	1739	143178
12	1882	142949
13	2025	142625
14	2168	142411
15	2311	142164
16	2454	141922
17	2594	141533
18	2738	141369
19	2879	141086
20	3024	141007
21	3165	140701
22	3310	140637
23	3451	140359
24	3594	140182
25	3737	140020
26	3880	139850
27	4026	139778
28	4168	139580
29	4310	139367
30	4457	139337
31	4595	139025
32	4739	138895
33	4882	138730
34	5027	138621
35	5163	138271
36	5299	137927
37	5441	137768
38	5586	137666
39	5731	137563
40	5878	137497
41	6013	137175
42	6157	137041
43	6292	136714
44	6435	136570
45	6580	136470
46	6716	136178
47	6858	136025
48	7002	135897
49	7138	135628
50	7281	135493
51	7422	135318
52	7564	135168
53	7700	134903
54	7843	134767
55	7983	134577
56	8130	134503
57	8275	134397
58	8410	134147
59	8550	133951
60	8691	133791
61	8830	133592
62	8970	133423
63	9112	133267
64	9248	133029
65	9383	132789
66	9516	132514
67	9654	132317
68	9791	132111
69	9922	131827
70	10055	131571
71	10192	131367
72	10326	131128
73	10459	130889
74	10598	130712
75	10735	130519
76	10864	130230
77	10988	129889
78	11128	129737
79	11264	129540
80	11396	129303
81	11528	129064
82	11664	128867
83	11802	128705
84	11937	128508
85	12072	128304
86	12202	128056
87	12329	127777
88	12465	127598
89	12590	127308
90	12725	127113
91	12858	126908
92	12992	126708
93	13127	126523
94	13251	126237
95	13384	126040
96	13520	125862
97	13655	125682
98	13785	125458
99	13915	125241
100	14045	125017
101	14190	124929
102	14329	124794
103	14466	124630
104	14603	124477
105	14730	124233
106	14855	123983
107	14981	123738
108	15116	123565
109	15250	123388
110	15375	123145
111	15506	122940
112	15639	122763
113	15772	122585
114	15907	122420
115	16036	122211
116	16166	122005
117	16293	121789
118	16431	121649
119	16568	121499
120	16692	121259
121	16832	121136
122	16959	120920
123	17088	120722
124	17227	120593
125	17366	120462
126	17496	120269
127	17614	119999
128	17755	119882
129	17896	119772
130	18033	119624
131	18167	119465
132	18296	119268
133	18433	119130
134	18576	119025
135	18693	118761
136	18831	118626
137	18964	118460
138	19093	118272
139	19226	118107
140	19346	117860
141	19489	117761
142	19634	117668
143	19771	117530
144	19904	117367
145	20041	117228
146	20175	117071
147	20302	116878
148	20442	116756
149	20576	116599
150	20704	116411
151	20832	116221
152	20962	116045
153	21094	115880
154	21232	115750
155	21362	115574
156	21502	115458
157	21640	115322
158	21773	115165
159	21908	115017
160	22036	114838
161	22160	114635
162	22292	114471
163	22432	114350
164	22559	114167
165	22684	113971
166	22805	113755
167	22935	113583
168	23058	113380
169	23198	113260
170	23329	113099
171	23457	112922
172	23591	112775
173	23712	112566
174	23833	112358
175	23971	112230
176	24109	112101
177	24248	111976
178	24384	111841
179	24523	111718
180	24659	111579
181	24786	111401
182	24908	111205
183	25048	111086
184	25170	110886
185	25300	110723
186	25421	110521
187	25554	110373
188	25685	110217
189	25824	110094
190	25957	109945
